industry,industryLabel,MaineFacility,facilityName,region
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110013917235,AUBURN MANUFACTURING,https://datacommons.org/browser/geoId/2300102060
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110038379064,ANGSTROM FIBER AUBURN LLC,https://datacommons.org/browser/geoId/2300102060
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002088419,BATES MILL COMPLEX CLEANUP SITE,https://datacommons.org/browser/geoId/2300138740
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002334091,W S LIBBY COMPANY,https://datacommons.org/browser/geoId/2300138740
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110013385657,MILLER INDUSTRIES INC,https://datacommons.org/browser/geoId/2300138740
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110057086825,"INSULSAFE TEXTILES, INC. - LE",https://datacommons.org/browser/geoId/2300138740
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110007271898,WORUMBO MILL,https://datacommons.org/browser/geoId/2300140035
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110016749081,MILLER INDUSTRIES INC,https://datacommons.org/browser/geoId/2300140035
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070290319,"FIBER MATERIALS, INC.",https://datacommons.org/browser/geoId/2300360825
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110007277936,EDWARDS MANUFACTURING,https://datacommons.org/browser/geoId/2301102100
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110001827783,TEX TECH INDUSTRIES INCORPORATED,https://datacommons.org/browser/geoId/2301146405
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000614121,WATERVILLE IND INC,https://datacommons.org/browser/geoId/2301180740
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000314534,CARLETON WOOLEN MILLS,https://datacommons.org/browser/geoId/2301186970
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000763111,ROBINSON MANUFACTURING COMPANY,https://datacommons.org/browser/geoId/2301756310
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006513549,EASTLAND WOOLEN MILL SUPERFUND SITE,https://datacommons.org/browser/geoId/2301914310
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110007401702,EASTLAND WOOLEN MILLS INC,https://datacommons.org/browser/geoId/2301914310
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110070341395,NTENSION CORPORATION,https://datacommons.org/browser/geoId/2301932510
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110008053836,TRUE TEXTILES,https://datacommons.org/browser/geoId/2301949065
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110038948958,STRIAR TEXTILE MILL LIMITED PARTNERSHIP,https://datacommons.org/browser/geoId/2301955565
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110007401766,TRUE TEXTILES INC - GUILFORD FACILITY,https://datacommons.org/browser/geoId/2302130095
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110008435256,BIDDEFORD INDUSTRIES,https://datacommons.org/browser/geoId/2303116725
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110008438208,NEWMAN GEORGE AND COMPANY,https://datacommons.org/browser/geoId/2303116725
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110001854084,INTERNATIONAL WOOLEN COMPANY INC,https://datacommons.org/browser/geoId/2303165725
http://w3id.org/fio/v1/naics#NAICS-313,Textile Mills,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110007401873,US FELT MANUFACTURING CO INC,https://datacommons.org/browser/geoId/2303165725
http://w3id.org/fio/v1/naics#NAICS-316,Leather and Allied Product Manufacturing,http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110021175477,ENEFCO INTERNATIONAL  LTD,https://datacommons.org/browser/geoId/2300102060
