facility,record,startTime,endTime
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618650,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.ME0100315,2011-11-01T00:00:00,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000732958,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100072,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000732967,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100285,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000732976,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100391,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000732985,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100781,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000732994,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100854,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000736936,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101036,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000736945,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102059,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000761792,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101222,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000916153,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100064,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110000916251,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100013,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110001149392,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101320,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002045288,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100048,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002046401,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100935,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002047026,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100307,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002050752,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100625,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002052055,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100790,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002052206,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100595,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002052215,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100765,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110002332592,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101079,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618320,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101389,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618384,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101397,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618491,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100145,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618589,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101702,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618623,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101443,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618641,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101796,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618650,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100315,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618721,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100561,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618730,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100552,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618758,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100617,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618767,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100820,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006618776,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100668,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110006744005,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101681,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110008435498,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100951,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009025919,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101516,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009025964,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100889,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912746,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101885,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912755,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101915,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912835,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102334,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912862,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101061,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912915,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101249,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009912997,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100684,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913068,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL101478,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913086,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100021,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913111,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100137,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110009913175,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL100455,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110012311649,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102431,,
http://w3id.org/fio/v1/epa-frs-data#d.FRS-Facility.110013402825,http://w3id.org/fio/v1/epa-frs-data#d.Record.NPDES.MEL102491,,
